year,month,day,hospital
2011,8,12,446
2011,8,13,321
2011,8,14,193
2011,8,15,355
2011,8,16,403
2011,8,17,401
2011,8,18,457
2011,8,19,439
2011,8,20,287
2011,8,21,179
2011,8,22,373
2011,8,23,401
2011,8,24,409
2011,8,25,426
2011,8,26,400
2011,8,27,158
2011,8,28,23
2011,8,29,308
2011,8,30,348
2011,8,31,380
2011,9,1,430
2011,9,2,455
2011,9,3,349
2011,9,4,303
2011,9,5,237
2011,9,6,481
2011,9,7,469
2011,9,8,501
2011,9,9,436
2011,9,10,324
2011,9,11,287
2011,9,12,422
2011,9,13,445
2011,9,14,454
2011,9,15,434
2011,9,16,413
2011,9,17,331
2011,9,18,322
2011,9,19,407
2011,9,20,402
2011,9,21,445
2011,9,22,471
2011,9,23,451
2011,9,24,361
2011,9,25,320
2011,9,26,473
2011,9,27,460
2011,9,28,451
2011,9,29,433
2011,9,30,447
2011,10,1,383
2011,10,2,302
2011,10,3,489
2011,10,4,464
2011,10,5,494
2011,10,6,500
2011,10,7,476
2011,10,8,316
2011,10,9,289
2011,10,10,402
2011,10,11,466
2011,10,12,495
2011,10,13,499
2011,10,14,443
2011,10,15,350
2011,10,16,306
2011,10,17,392
2011,10,18,481
2011,10,19,476
2011,10,20,443
2011,10,21,477
2011,10,22,330
2011,10,23,269
2011,10,24,435
2011,10,25,489
2011,10,26,459
2011,10,27,450
2011,10,28,468
2011,10,29,387
2011,10,30,298
2011,10,31,447
2011,11,1,472
2011,11,2,469
2011,11,3,479
2011,11,4,498
2011,11,5,356
2011,11,6,303
2011,11,7,431
2011,11,8,416
2011,11,9,448
2011,11,10,517
2011,11,11,490
2011,11,12,376
2011,11,13,288
2011,11,14,462
2011,11,15,436
2011,11,16,508
2011,11,17,498
2011,11,18,454
2011,11,19,397
2011,11,20,293
2011,11,21,446
2011,11,22,513
2011,11,23,412
2011,11,24,261
2011,11,25,255
2011,11,26,250
2011,11,27,257
2011,11,28,427
2011,11,29,461
2011,11,30,486
2011,12,1,499
2011,12,2,507
2011,12,3,378
2011,12,4,327
2011,12,5,430
2011,12,6,476
2011,12,7,453
2011,12,8,504
2011,12,9,434
2011,12,10,336
2011,12,11,341
2011,12,12,468
2011,12,13,471
2011,12,14,506
2011,12,15,483
2011,12,16,513
2011,12,17,418
2011,12,18,350
2011,12,19,453
2011,12,20,451
2011,12,21,432
2011,12,22,391
2011,12,23,377
2011,12,24,254
2011,12,25,189
2011,12,26,195
2011,12,27,335
2011,12,28,363
2011,12,29,367
2011,12,30,375
2011,12,31,296
2012,1,1,177
2012,1,2,263
2012,1,3,446
2012,1,4,458
2012,1,5,492
2012,1,6,419
2012,1,7,377
2012,1,8,288
2012,1,9,442
2012,1,10,448
2012,1,11,442
2012,1,12,465
2012,1,13,529
2012,1,14,355
2012,1,15,332
2012,1,16,285
2012,1,17,446
2012,1,18,482
2012,1,19,501
2012,1,20,526
2012,1,21,350
2012,1,22,298
2012,1,23,419
2012,1,24,462
2012,1,25,515
2012,1,26,525
2012,1,27,460
2012,1,28,352
2012,1,29,329
2012,1,30,406
2012,1,31,447
2012,2,1,460
2012,2,2,521
2012,2,3,489
2012,2,4,352
2012,2,5,353
2012,2,6,435
2012,2,7,476
2012,2,8,499
2012,2,9,422
2012,2,10,517
2012,2,11,396
2012,2,12,349
2012,2,13,454
2012,2,14,500
2012,2,15,550
2012,2,16,503
2012,2,17,479
2012,2,18,350
2012,2,19,290
2012,2,20,311
2012,2,21,424
2012,2,22,478
2012,2,23,444
2012,2,24,516
2012,2,25,354
2012,2,26,327
2012,2,27,407
2012,2,28,450
2012,2,29,525
2012,3,1,459
2012,3,2,571
2012,3,3,376
2012,3,4,296
2012,3,5,453
2012,3,6,485
2012,3,7,422
2012,3,8,455
2012,3,9,493
2012,3,10,327
2012,3,11,288
2012,3,12,435
2012,3,13,453
2012,3,14,434
2012,3,15,469
2012,3,16,493
2012,3,17,344
2012,3,18,270
2012,3,19,394
2012,3,20,463
2012,3,21,457
2012,3,22,450
2012,3,23,461
2012,3,24,359
2012,3,25,331
2012,3,26,447
2012,3,27,455
2012,3,28,471
2012,3,29,499
2012,3,30,473
2012,3,31,378
2012,4,1,356
2012,4,2,442
2012,4,3,464
2012,4,4,474
2012,4,5,526
2012,4,6,419
2012,4,7,295
2012,4,8,265
2012,4,9,434
2012,4,10,457
2012,4,11,469
2012,4,12,498
2012,4,13,428
2012,4,14,353
2012,4,15,295
2012,4,16,432
2012,4,17,458
2012,4,18,461
2012,4,19,444
2012,4,20,460
2012,4,21,350
2012,4,22,376
2012,4,23,423
2012,4,24,493
2012,4,25,457
2012,4,26,512
2012,4,27,466
2012,4,28,367
2012,4,29,318
2012,4,30,441
2012,5,1,490
2012,5,2,478
2012,5,3,490
2012,5,4,476
2012,5,5,386
2012,5,6,293
2012,5,7,455
2012,5,8,466
2012,5,9,470
2012,5,10,504
2012,5,11,457
2012,5,12,320
2012,5,13,322
2012,5,14,436
2012,5,15,471
2012,5,16,458
2012,5,17,451
2012,5,18,430
2012,5,19,334
2012,5,20,288
2012,5,21,457
2012,5,22,423
2012,5,23,436
2012,5,24,435
2012,5,25,426
2012,5,26,294
2012,5,27,222
2012,5,28,251
2012,5,29,431
2012,5,30,464
2012,5,31,442
2012,6,1,452
2012,6,2,345
2012,6,3,332
2012,6,4,413
2012,6,5,440
2012,6,6,450
2012,6,7,511
2012,6,8,490
2012,6,9,339
2012,6,10,295
2012,6,11,421
2012,6,12,506
2012,6,13,513
2012,6,14,425
2012,6,15,449
2012,6,16,309
2012,6,17,287
2012,6,18,400
2012,6,19,455
2012,6,20,471
2012,6,21,452
2012,6,22,457
2012,6,23,372
2012,6,24,311
2012,6,25,428
2012,6,26,406
2012,6,27,441
2012,6,28,444
